date,fjoldi,eigandi,tegund,value
2019,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,21305
2020,Sem eiga eina íbúð,Einstaklingar,hlutf,62.5
2020,Sem eiga eina íbúð,Lögaðilar,hlutf,2.1
2020,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,20.6
2020,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,14.9
2020,Sem eiga eina íbúð,Einstaklingar,fjoldi,90892
2020,Sem eiga eina íbúð,Lögaðilar,fjoldi,3094
2020,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,29915
2020,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,21609
2021,Sem eiga eina íbúð,Einstaklingar,hlutf,62.7
2021,Sem eiga eina íbúð,Lögaðilar,hlutf,2.2
2021,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,20.7
2021,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,14.4
2021,Sem eiga eina íbúð,Einstaklingar,fjoldi,93269
2021,Sem eiga eina íbúð,Lögaðilar,fjoldi,3235
2021,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,30773
2021,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,21439
2022,Sem eiga eina íbúð,Einstaklingar,hlutf,62.4
2022,Sem eiga eina íbúð,Lögaðilar,hlutf,2.2
2022,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,20.8
2022,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,14.6
2022,Sem eiga eina íbúð,Einstaklingar,fjoldi,94568
2022,Sem eiga eina íbúð,Lögaðilar,fjoldi,3347
2022,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,31540
2022,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,22173
2023,Sem eiga eina íbúð,Einstaklingar,hlutf,61.7
2023,Sem eiga eina íbúð,Lögaðilar,hlutf,2.3
2023,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,20.9
2023,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,15.1
2023,Sem eiga eina íbúð,Einstaklingar,fjoldi,95639
2023,Sem eiga eina íbúð,Lögaðilar,fjoldi,3531
2023,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,32357
2023,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,23473
2024,Sem eiga eina íbúð,Einstaklingar,hlutf,61.6
2024,Sem eiga eina íbúð,Lögaðilar,hlutf,2.3
2024,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,20.9
2024,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,15.2
2024,Sem eiga eina íbúð,Einstaklingar,fjoldi,95685
2024,Sem eiga eina íbúð,Lögaðilar,fjoldi,3535
2024,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,32394
2024,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,23618
